atm_id,day,time_slot,crowd_level
ATM_41,Mon,Morning,Medium
ATM_13,Tue,Morning,Medium
ATM_9,Sat,Night,Medium
ATM_14,Sun,Afternoon,High
ATM_21,Thu,Afternoon,Low
ATM_6,Thu,Night,Low
ATM_31,Thu,Morning,Medium
ATM_23,Thu,Morning,Medium
ATM_22,Fri,Afternoon,Low
ATM_41,Thu,Morning,Medium
ATM_39,Fri,Night,Low
ATM_45,Mon,Evening,High
ATM_35,Fri,Morning,Medium
ATM_48,Tue,Evening,High
ATM_3,Fri,Afternoon,Low
ATM_49,Tue,Afternoon,Low
ATM_6,Sun,Evening,High
ATM_43,Fri,Night,Low
ATM_41,Mon,Night,Low
ATM_8,Mon,Afternoon,Low
ATM_14,Fri,Afternoon,Low
ATM_33,Mon,Night,Low
ATM_18,Thu,Evening,High
ATM_29,Sat,Night,Medium
ATM_38,Sat,Afternoon,High
ATM_8,Fri,Evening,High
ATM_21,Sun,Morning,Medium
ATM_33,Sun,Afternoon,High
ATM_38,Sun,Night,Medium
ATM_16,Wed,Night,Low
ATM_34,Wed,Afternoon,Low
ATM_1,Thu,Night,Low
ATM_47,Tue,Night,Low
ATM_13,Tue,Evening,High
ATM_1,Thu,Night,Low
ATM_43,Sat,Afternoon,High
ATM_50,Thu,Evening,High
ATM_42,Tue,Evening,High
ATM_49,Thu,Morning,Medium
ATM_4,Sat,Morning,Medium
ATM_44,Thu,Night,Low
ATM_18,Fri,Evening,High
ATM_46,Thu,Afternoon,Low
ATM_49,Sat,Evening,High
ATM_27,Tue,Evening,High
ATM_16,Thu,Afternoon,Low
ATM_3,Sat,Night,Medium
ATM_19,Wed,Evening,High
ATM_46,Sat,Morning,Medium
ATM_17,Thu,Night,Low
ATM_37,Sat,Afternoon,High
ATM_27,Mon,Afternoon,Low
ATM_32,Wed,Morning,Medium
ATM_18,Tue,Afternoon,Low
ATM_17,Mon,Night,Low
ATM_22,Sun,Evening,High
ATM_41,Fri,Afternoon,Low
ATM_41,Tue,Afternoon,Low
ATM_45,Fri,Evening,High
ATM_26,Mon,Evening,High
ATM_19,Wed,Night,Low
ATM_17,Fri,Afternoon,Low
ATM_19,Sat,Night,Medium
ATM_34,Wed,Morning,Medium
ATM_44,Fri,Evening,High
ATM_27,Fri,Evening,High
ATM_6,Mon,Morning,Medium
ATM_29,Wed,Night,Low
ATM_48,Wed,Morning,Medium
ATM_30,Mon,Night,Low
ATM_30,Sun,Evening,High
ATM_16,Wed,Night,Low
ATM_10,Sun,Morning,Medium
ATM_50,Thu,Evening,High
ATM_34,Sat,Night,Medium
ATM_31,Thu,Evening,High
ATM_13,Fri,Morning,Medium
ATM_23,Fri,Afternoon,Low
ATM_37,Thu,Morning,Medium
ATM_50,Sun,Night,Medium
ATM_35,Mon,Afternoon,Low
ATM_4,Wed,Evening,High
ATM_45,Sat,Evening,High
ATM_47,Sat,Morning,Medium
ATM_31,Sat,Morning,Medium
ATM_7,Mon,Afternoon,Low
ATM_32,Sun,Night,Medium
ATM_22,Fri,Evening,High
ATM_43,Tue,Evening,High
ATM_1,Fri,Night,Low
ATM_44,Wed,Evening,High
ATM_49,Thu,Afternoon,Low
ATM_49,Mon,Night,Low
ATM_36,Fri,Evening,High
ATM_28,Sun,Evening,High
ATM_39,Sat,Morning,Medium
ATM_35,Fri,Afternoon,Low
ATM_18,Sun,Night,Medium
ATM_7,Thu,Evening,High
ATM_23,Mon,Night,Low
ATM_25,Mon,Night,Low
ATM_22,Sun,Morning,Medium
ATM_36,Tue,Night,Low
ATM_21,Fri,Evening,High
ATM_28,Sat,Evening,High
ATM_3,Thu,Afternoon,Low
ATM_2,Sat,Morning,Medium
ATM_13,Wed,Morning,Medium
ATM_27,Fri,Afternoon,Low
ATM_45,Tue,Night,Low
ATM_6,Sat,Morning,Medium
ATM_11,Thu,Afternoon,Low
ATM_19,Fri,Afternoon,Low
ATM_28,Sat,Morning,Medium
ATM_34,Wed,Evening,High
ATM_27,Fri,Afternoon,Low
ATM_26,Thu,Night,Low
ATM_16,Tue,Morning,Medium
ATM_27,Fri,Night,Low
ATM_24,Fri,Evening,High
ATM_35,Tue,Night,Low
ATM_43,Wed,Afternoon,Low
ATM_39,Tue,Evening,High
ATM_35,Wed,Afternoon,Low
ATM_32,Thu,Night,Low
ATM_32,Sat,Evening,High
ATM_49,Sun,Evening,High
ATM_20,Mon,Evening,High
ATM_13,Sat,Afternoon,High
ATM_44,Sat,Afternoon,High
ATM_13,Tue,Morning,Medium
ATM_41,Sat,Afternoon,High
ATM_45,Thu,Evening,High
ATM_2,Wed,Night,Low
ATM_49,Sun,Morning,Medium
ATM_14,Sat,Afternoon,High
ATM_15,Sat,Night,Medium
ATM_16,Tue,Evening,High
ATM_14,Thu,Afternoon,Low
ATM_3,Fri,Morning,Medium
ATM_39,Sat,Evening,High
ATM_27,Wed,Evening,High
ATM_28,Thu,Morning,Medium
ATM_22,Sun,Evening,High
ATM_26,Mon,Night,Low
ATM_18,Tue,Morning,Medium
ATM_40,Tue,Evening,High
ATM_9,Fri,Afternoon,Low
ATM_50,Sun,Evening,High
ATM_24,Thu,Morning,Medium
ATM_28,Wed,Night,Low
ATM_19,Mon,Night,Low
ATM_47,Sun,Night,Medium
ATM_36,Sat,Evening,High
ATM_39,Mon,Morning,Medium
ATM_24,Fri,Evening,High
ATM_4,Sat,Afternoon,High
ATM_6,Wed,Morning,Medium
ATM_25,Thu,Evening,High
ATM_37,Tue,Afternoon,Low
ATM_17,Sat,Night,Medium
ATM_20,Sat,Morning,Medium
ATM_32,Thu,Afternoon,Low
ATM_13,Sat,Night,Medium
ATM_48,Wed,Evening,High
ATM_40,Sun,Morning,Medium
ATM_18,Sat,Morning,Medium
ATM_34,Sun,Night,Medium
ATM_26,Sat,Afternoon,High
ATM_21,Sun,Night,Medium
ATM_34,Sun,Night,Medium
ATM_23,Fri,Morning,Medium
ATM_5,Fri,Morning,Medium
ATM_10,Sat,Afternoon,High
ATM_6,Mon,Evening,High
ATM_28,Thu,Evening,High
ATM_28,Fri,Night,Low
ATM_40,Tue,Afternoon,Low
ATM_23,Wed,Afternoon,Low
ATM_34,Thu,Afternoon,Low
ATM_20,Tue,Morning,Medium
ATM_31,Sat,Evening,High
ATM_5,Mon,Morning,Medium
ATM_4,Fri,Morning,Medium
ATM_21,Thu,Afternoon,Low
ATM_45,Mon,Morning,Medium
ATM_34,Fri,Morning,Medium
ATM_17,Sat,Night,Medium
ATM_14,Sun,Evening,High
ATM_44,Wed,Night,Low
ATM_46,Tue,Afternoon,Low
ATM_24,Fri,Night,Low
ATM_50,Thu,Afternoon,Low
ATM_11,Tue,Morning,Medium
ATM_41,Sat,Morning,Medium
ATM_28,Sat,Night,Medium
ATM_2,Wed,Night,Low
ATM_15,Thu,Night,Low
ATM_12,Wed,Night,Low
ATM_30,Mon,Night,Low
ATM_24,Sun,Afternoon,High
ATM_9,Tue,Afternoon,Low
ATM_7,Sat,Afternoon,High
ATM_27,Sat,Night,Medium
ATM_30,Sun,Night,Medium
ATM_2,Fri,Morning,Medium
ATM_39,Fri,Night,Low
ATM_39,Tue,Morning,Medium
ATM_32,Thu,Night,Low
ATM_43,Fri,Night,Low
ATM_27,Tue,Evening,High
ATM_29,Mon,Night,Low
ATM_24,Sun,Evening,High
ATM_31,Sat,Afternoon,High
ATM_32,Mon,Evening,High
ATM_4,Sat,Afternoon,High
ATM_11,Fri,Evening,High
ATM_3,Mon,Morning,Medium
ATM_33,Sun,Morning,Medium
ATM_4,Fri,Evening,High
ATM_50,Wed,Morning,Medium
ATM_20,Thu,Evening,High
ATM_33,Mon,Afternoon,Low
ATM_49,Wed,Evening,High
ATM_6,Wed,Night,Low
ATM_6,Sun,Night,Medium
ATM_48,Sat,Afternoon,High
ATM_36,Mon,Afternoon,Low
ATM_42,Wed,Night,Low
ATM_35,Fri,Evening,High
ATM_15,Wed,Afternoon,Low
ATM_35,Mon,Evening,High
ATM_29,Sun,Evening,High
ATM_35,Wed,Night,Low
ATM_4,Sun,Night,Medium
ATM_39,Sun,Night,Medium
ATM_44,Sat,Afternoon,High
ATM_45,Tue,Night,Low
ATM_50,Wed,Afternoon,Low
ATM_47,Fri,Night,Low
ATM_2,Tue,Afternoon,Low
ATM_36,Tue,Morning,Medium
ATM_11,Sat,Morning,Medium
ATM_38,Wed,Night,Low
ATM_30,Sun,Morning,Medium
ATM_15,Sat,Night,Medium
ATM_36,Sat,Morning,Medium
ATM_25,Wed,Night,Low
ATM_11,Thu,Morning,Medium
ATM_5,Wed,Morning,Medium
ATM_48,Wed,Night,Low
ATM_26,Mon,Morning,Medium
ATM_11,Thu,Morning,Medium
ATM_16,Mon,Afternoon,Low
ATM_11,Fri,Evening,High
ATM_45,Sun,Night,Medium
ATM_37,Thu,Night,Low
ATM_9,Wed,Night,Low
ATM_4,Sat,Morning,Medium
ATM_49,Sun,Night,Medium
ATM_18,Sun,Night,Medium
ATM_29,Thu,Afternoon,Low
ATM_9,Thu,Evening,High
ATM_2,Tue,Evening,High
ATM_46,Sun,Morning,Medium
ATM_21,Fri,Night,Low
ATM_38,Tue,Evening,High
ATM_28,Sun,Afternoon,High
ATM_2,Wed,Evening,High
ATM_13,Mon,Morning,Medium
ATM_35,Fri,Night,Low
ATM_10,Sun,Afternoon,High
ATM_35,Fri,Afternoon,Low
ATM_30,Thu,Afternoon,Low
ATM_31,Sun,Night,Medium
ATM_28,Tue,Evening,High
ATM_42,Mon,Night,Low
ATM_33,Thu,Evening,High
ATM_20,Mon,Afternoon,Low
ATM_34,Thu,Morning,Medium
ATM_22,Tue,Night,Low
ATM_21,Wed,Afternoon,Low
ATM_17,Sat,Morning,Medium
ATM_7,Fri,Morning,Medium
ATM_15,Sat,Night,Medium
ATM_20,Tue,Morning,Medium
ATM_7,Sun,Night,Medium
ATM_11,Mon,Morning,Medium
ATM_2,Fri,Afternoon,Low
ATM_44,Mon,Afternoon,Low
ATM_10,Wed,Night,Low
ATM_24,Mon,Afternoon,Low
ATM_39,Fri,Afternoon,Low
ATM_15,Wed,Afternoon,Low
ATM_32,Sun,Afternoon,High
ATM_45,Tue,Night,Low
ATM_19,Tue,Evening,High
ATM_39,Tue,Afternoon,Low
ATM_37,Fri,Afternoon,Low
ATM_10,Mon,Evening,High
ATM_27,Tue,Evening,High
ATM_39,Fri,Night,Low
ATM_15,Fri,Night,Low
ATM_38,Sat,Evening,High
ATM_17,Sat,Morning,Medium
ATM_49,Fri,Morning,Medium
ATM_42,Tue,Morning,Medium
ATM_30,Wed,Morning,Medium
ATM_4,Mon,Afternoon,Low
ATM_20,Tue,Morning,Medium
ATM_1,Fri,Morning,Medium
ATM_49,Wed,Morning,Medium
ATM_6,Tue,Night,Low
ATM_29,Sun,Night,Medium
ATM_11,Thu,Afternoon,Low
ATM_46,Mon,Night,Low
ATM_2,Mon,Night,Low
ATM_37,Mon,Night,Low
ATM_4,Mon,Evening,High
ATM_36,Tue,Night,Low
ATM_33,Wed,Afternoon,Low
ATM_2,Mon,Evening,High
ATM_17,Sun,Evening,High
ATM_35,Tue,Evening,High
ATM_38,Sat,Afternoon,High
ATM_40,Thu,Afternoon,Low
ATM_44,Tue,Afternoon,Low
ATM_26,Tue,Afternoon,Low
ATM_8,Sat,Night,Medium
ATM_36,Sat,Afternoon,High
ATM_47,Wed,Morning,Medium
ATM_24,Sat,Morning,Medium
ATM_50,Sun,Morning,Medium
ATM_40,Mon,Afternoon,Low
ATM_31,Thu,Night,Low
ATM_28,Sat,Night,Medium
ATM_4,Tue,Night,Low
ATM_27,Sun,Afternoon,High
ATM_8,Wed,Evening,High
ATM_44,Sun,Afternoon,High
ATM_27,Thu,Evening,High
ATM_21,Sun,Evening,High
ATM_14,Wed,Morning,Medium
ATM_44,Mon,Morning,Medium
ATM_15,Fri,Night,Low
ATM_34,Tue,Morning,Medium
ATM_35,Thu,Afternoon,Low
ATM_12,Mon,Night,Low
ATM_48,Sun,Afternoon,High
ATM_3,Sat,Morning,Medium
ATM_7,Tue,Night,Low
ATM_47,Mon,Morning,Medium
ATM_1,Sun,Morning,Medium
ATM_48,Sun,Night,Medium
ATM_23,Wed,Morning,Medium
ATM_26,Tue,Night,Low
ATM_50,Sun,Morning,Medium
ATM_30,Wed,Night,Low
ATM_42,Mon,Night,Low
ATM_18,Thu,Night,Low
ATM_36,Sun,Night,Medium
ATM_30,Tue,Night,Low
ATM_29,Mon,Night,Low
ATM_3,Wed,Morning,Medium
ATM_23,Wed,Evening,High
ATM_33,Sat,Afternoon,High
ATM_15,Fri,Evening,High
ATM_28,Sun,Morning,Medium
ATM_10,Sat,Afternoon,High
ATM_23,Fri,Night,Low
ATM_23,Tue,Afternoon,Low
ATM_14,Mon,Afternoon,Low
ATM_16,Wed,Evening,High
ATM_22,Fri,Morning,Medium
ATM_10,Thu,Morning,Medium
ATM_43,Thu,Afternoon,Low
ATM_3,Thu,Evening,High
ATM_13,Mon,Afternoon,Low
ATM_26,Thu,Morning,Medium
ATM_37,Mon,Evening,High
ATM_9,Sat,Afternoon,High
ATM_46,Mon,Afternoon,Low
ATM_21,Sun,Evening,High
ATM_18,Thu,Morning,Medium
ATM_45,Thu,Evening,High
ATM_44,Wed,Evening,High
ATM_41,Thu,Afternoon,Low
ATM_4,Thu,Evening,High
ATM_14,Thu,Evening,High
ATM_16,Sat,Night,Medium
ATM_43,Sat,Afternoon,High
ATM_42,Sun,Night,Medium
ATM_10,Wed,Morning,Medium
ATM_27,Fri,Evening,High
ATM_3,Wed,Night,Low
ATM_20,Tue,Night,Low
ATM_38,Mon,Evening,High
ATM_39,Fri,Morning,Medium
ATM_40,Wed,Morning,Medium
ATM_32,Sat,Afternoon,High
ATM_11,Mon,Evening,High
ATM_4,Thu,Evening,High
ATM_13,Tue,Afternoon,Low
ATM_13,Wed,Night,Low
ATM_48,Sat,Night,Medium
ATM_22,Sat,Night,Medium
ATM_7,Fri,Afternoon,Low
ATM_6,Sat,Afternoon,High
ATM_24,Sat,Afternoon,High
ATM_34,Sun,Morning,Medium
ATM_3,Sat,Afternoon,High
ATM_48,Fri,Night,Low
ATM_20,Tue,Evening,High
ATM_17,Thu,Evening,High
ATM_3,Fri,Night,Low
ATM_9,Mon,Morning,Medium
ATM_3,Mon,Afternoon,Low
ATM_39,Fri,Morning,Medium
ATM_21,Wed,Night,Low
ATM_40,Sat,Evening,High
ATM_31,Wed,Night,Low
ATM_20,Mon,Night,Low
ATM_11,Wed,Evening,High
ATM_25,Wed,Night,Low
ATM_10,Fri,Night,Low
ATM_40,Mon,Evening,High
ATM_38,Tue,Morning,Medium
ATM_5,Sat,Afternoon,High
ATM_5,Thu,Morning,Medium
ATM_19,Sun,Morning,Medium
ATM_48,Fri,Afternoon,Low
ATM_45,Tue,Evening,High
ATM_37,Wed,Afternoon,Low
ATM_38,Tue,Morning,Medium
ATM_24,Tue,Evening,High
ATM_8,Fri,Morning,Medium
ATM_15,Tue,Morning,Medium
ATM_39,Tue,Afternoon,Low
ATM_4,Sat,Morning,Medium
ATM_5,Thu,Afternoon,Low
ATM_42,Tue,Afternoon,Low
ATM_19,Sat,Afternoon,High
ATM_50,Wed,Morning,Medium
ATM_41,Sun,Afternoon,High
ATM_8,Sun,Afternoon,High
ATM_44,Sat,Evening,High
ATM_48,Thu,Afternoon,Low
ATM_33,Mon,Evening,High
ATM_34,Mon,Morning,Medium
ATM_32,Fri,Night,Low
ATM_5,Mon,Afternoon,Low
ATM_25,Thu,Afternoon,Low
ATM_29,Thu,Evening,High
ATM_20,Fri,Night,Low
ATM_8,Thu,Evening,High
ATM_41,Tue,Night,Low
ATM_24,Wed,Evening,High
ATM_26,Sat,Morning,Medium
ATM_22,Sat,Evening,High
ATM_21,Mon,Evening,High
ATM_9,Thu,Afternoon,Low
ATM_1,Fri,Evening,High
ATM_44,Wed,Evening,High
ATM_16,Tue,Morning,Medium
ATM_13,Sat,Afternoon,High
ATM_39,Thu,Morning,Medium
ATM_49,Sat,Afternoon,High
ATM_19,Tue,Morning,Medium
ATM_7,Tue,Afternoon,Low
ATM_26,Sat,Evening,High
ATM_1,Thu,Night,Low
ATM_12,Fri,Night,Low
ATM_41,Thu,Afternoon,Low
ATM_27,Fri,Morning,Medium
ATM_24,Tue,Morning,Medium
ATM_21,Sun,Morning,Medium
ATM_22,Tue,Morning,Medium
ATM_29,Sun,Night,Medium
ATM_6,Mon,Evening,High
ATM_9,Fri,Evening,High
ATM_3,Sun,Evening,High
ATM_20,Wed,Night,Low
ATM_2,Wed,Evening,High
ATM_20,Mon,Evening,High
ATM_8,Tue,Evening,High
ATM_25,Tue,Afternoon,Low
ATM_38,Tue,Evening,High
ATM_31,Sun,Afternoon,High
ATM_42,Wed,Morning,Medium
ATM_43,Sun,Evening,High
ATM_5,Tue,Afternoon,Low
ATM_49,Sun,Morning,Medium
ATM_6,Wed,Night,Low
ATM_16,Fri,Afternoon,Low
ATM_27,Sun,Afternoon,High
ATM_15,Fri,Night,Low
ATM_49,Sun,Night,Medium
ATM_24,Thu,Afternoon,Low
ATM_6,Tue,Evening,High
ATM_1,Mon,Afternoon,Low
ATM_46,Tue,Evening,High
ATM_35,Wed,Evening,High
ATM_28,Thu,Afternoon,Low
ATM_40,Thu,Evening,High
ATM_49,Wed,Evening,High
ATM_18,Thu,Morning,Medium
ATM_32,Tue,Evening,High
ATM_6,Fri,Evening,High
ATM_29,Mon,Evening,High
ATM_45,Fri,Night,Low
ATM_10,Mon,Evening,High
ATM_23,Fri,Morning,Medium
ATM_38,Fri,Night,Low
ATM_50,Fri,Night,Low
ATM_12,Fri,Night,Low
ATM_18,Mon,Evening,High
ATM_20,Wed,Morning,Medium
ATM_7,Fri,Evening,High
ATM_42,Fri,Afternoon,Low
ATM_22,Tue,Afternoon,Low
ATM_5,Thu,Evening,High
ATM_41,Sat,Morning,Medium
ATM_14,Sun,Evening,High
ATM_33,Tue,Morning,Medium
ATM_4,Mon,Morning,Medium
ATM_39,Mon,Afternoon,Low
ATM_25,Tue,Night,Low
ATM_18,Wed,Night,Low
ATM_26,Wed,Evening,High
ATM_35,Sun,Morning,Medium
ATM_15,Thu,Evening,High
ATM_16,Sat,Morning,Medium
ATM_13,Mon,Morning,Medium
ATM_11,Fri,Evening,High
ATM_1,Sun,Afternoon,High
ATM_3,Sat,Afternoon,High
ATM_10,Sat,Evening,High
ATM_10,Fri,Afternoon,Low
ATM_8,Fri,Morning,Medium
ATM_31,Wed,Evening,High
ATM_50,Wed,Morning,Medium
ATM_35,Mon,Morning,Medium
ATM_50,Thu,Morning,Medium
ATM_14,Thu,Morning,Medium
ATM_9,Tue,Morning,Medium
ATM_35,Fri,Afternoon,Low
ATM_27,Sun,Evening,High
ATM_3,Wed,Morning,Medium
ATM_31,Fri,Afternoon,Low
ATM_8,Tue,Morning,Medium
ATM_43,Wed,Afternoon,Low
ATM_18,Wed,Afternoon,Low
ATM_3,Tue,Evening,High
ATM_4,Mon,Afternoon,Low
ATM_8,Fri,Afternoon,Low
ATM_26,Wed,Evening,High
ATM_5,Sat,Night,Medium
ATM_21,Wed,Afternoon,Low
ATM_3,Wed,Morning,Medium
ATM_20,Wed,Afternoon,Low
ATM_20,Sun,Evening,High
ATM_20,Mon,Night,Low
ATM_44,Sun,Evening,High
ATM_31,Fri,Afternoon,Low
ATM_12,Mon,Night,Low
ATM_48,Sat,Morning,Medium
ATM_40,Tue,Evening,High
ATM_9,Thu,Afternoon,Low
ATM_11,Sat,Evening,High
ATM_26,Tue,Morning,Medium
ATM_23,Sat,Evening,High
ATM_10,Sun,Morning,Medium
ATM_20,Tue,Evening,High
ATM_27,Sat,Night,Medium
ATM_50,Sun,Morning,Medium
ATM_39,Thu,Afternoon,Low
ATM_47,Sat,Afternoon,High
ATM_3,Fri,Evening,High
ATM_25,Sun,Afternoon,High
ATM_13,Thu,Evening,High
ATM_25,Sat,Evening,High
ATM_33,Sun,Evening,High
ATM_10,Wed,Night,Low
ATM_14,Tue,Afternoon,Low
